cleaned_description,50.72 section
"MMD personnel opened the RB side door to enter the airlock in unison with an RP Technician exiting the Airlock to the Turbine Building. HURB to be completed to understand the details, determine why the barriers in place did not work and what HU behavior shortfalls led to the event.",['50.72(b)(3)(v)(C)']
"UPS 162 B Transferred to Bypass to load. RPS 11 Instrumentation Power was lost at 2357 and RPS bus 11 was repowered on the bypass-to-load and stable several seconds later. SOP 40.1 Loss of RPS 11 (ABNORMAL-OP) was entered at 0000 on 7/29/16. The high Drywell pressure signal for Channel 11 was reset and the half scram was reset at 0006. SOP 40.1 was executed with some exceptions: 1. Control Room Emergency ventilation did not actuate as expected. A Control Room Vent Rad Monitor Off Normal annunciator L1-4-2 was received and found to be caused by an equipment failure indicator on 11 Control Room Vent Rad Monitor. 12 CR Vent Rad Mon Remains Operable. 2. ATWS Channel 11 Trouble annunciator F2-4-2 was received as expected but could not be cleared. Computer point F108 ATWS CH 11 LOGIC PWR indicates failed. 3. Both ECs (Isolation Condensers) isolated on high steam flow (unexpected). This resulted in a ""commence a shutdown in 1 hour and be Cold S/D in 10 hour"" LCO entry. This was exited 0041, resulting in a 7 day LCO for 11 EC Inoperable and when 11 EC was restored to Standby at 0045, No LCOs were in effect for the EC Systems. A shutdown was NOT commenced. The SDM and Duty Team were informed and the decision was made to man the OCC. The team has reset all alarms with the exception of the: 1. CU System Isolation, K3-4-4, 2. Control Room Vent Rad Monitor Off Normal, L1-4-2, 3. ATWS Channel 11 Trouble, F2-4-2 4. RPS UPS 162 Trouble, A3-1-2",['50.72(b)(3)(v)(B)']
"Test results of the charcoal sample taken from the CREVS upstream bank of charcoal did not meet Acceptance Criteria (AC). The AC is <0.5% Methyl Iodide Penetration. The test results were 0.65% Methyl Iodide Penetration and does not meet the AC. Specifically, the AC per Step H.3. of DTS 5750-05 ""Control Room Air Filter Unit Performance Requirements"" is as follows, ""The laboratory test confirms a Methyl Iodide penetration of <0.5% Methyl Iodide Penetration (overall) when tested at 30C, 70% humidity. (Tech Spec 3.7.4.2 and 5.5.7.) (W-6, W-7)."" The CREVS upstream bank charcoal Sample was from Lot 69 / Batch 07 and removed per WO# 01773006-02. The test results are tracked per WO# 01773006-03. The said Lot / Batch has previously met AC per PM 00008808-01. The test vendor was challenged and was confident their test is accurate and was performed by an ANSI N45.2.6, Level III Engineer and approved by and ANSI N45.2.6, Level III Approver. The test vendor cannot retest the sample as well.",['50.72(b)(3)(v)(D)']
MCC 234V4 is not energized. Possible cause Unit 2 trip at Byron Station on 10/12/16.,"['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"On December 10, 2016 at 0848, Nine Mile Point Unit 1 manually SCRAMMED the Reactor due to high vibrations on the Main Turbine. Following the automatic scram, the High Pressure Coolant Injection (HPCI) System automatically initiated as expected. At Nine Mile Point Unit 1, a HPCI System actuation signal on low Reactor Pressure Vessel (RPV) level is normally received following a reactor scram, due to level shrink. HPCI is a flow control mode of the normal feedwater systems, and is not an Emergency Core Cooling System. At 0849, RPV level was restored above the HPCI System low level actuation set point and the HPCI System initiation signal was reset. Pressure control was established on the Turbine Bypass Valves, the preferred system. No Electromatic Relief Valves actuated due to this scram.","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"This IR identifies a non-conforming condition with the EDG exhaust stacks with respect to tornado missile protection and, if they are determined to be inoperable, provides for application of NRC enforcement discretion to allow diesel generators E1, E2, E3 and E4 to be returned to an operable status. As documented in IR 322722, the EDG exhaust stacks at PB extend approximately 7 feet above the roof of the diesel building and are not protected against tornado missiles. This was determined to be acceptable at the time the IR was evaluated because it was assumed only one missile strike had to be considered and the plant can be safely shutdown with three diesels. NRC actions since that time have shown that multiple missiles need to be considered and that all four EDGs need to be capable of performing their design function following a tornado. Peach Bottom's licensing basis for tornado missile protection is contained in the following: UFSAR Section C.2.4: ""Components which directly affect the ultimate safe shutdown of the plant are located either in reinforced concrete structures or underground for tornado protection. These components include . . . standby diesel generators."" UFSAR Section H.2.1: ""Essential structures and equipment are designed to performance standards which enable the facility to withstand, without loss of capability to protect the public, the additional forces that might be imposed by natural phenomena such as . . . tornados."" UFSAR Section 8.5 states that each diesel generator is protected against natural phenomena, such as tornadoes. Since the exhaust stacks are an integral component of the EDG and are not protected against tornado missiles, the design does not meet the licensing basis and a non-conforming condition exists. As stated in OP-AA-108-115, ""Operability Determinations"" (which is based on NRC Inspection Manual 0326), in order to be considered operable, a component must be capable of performing its specified safety function within the required range of design physical conditions. IR 322722 assignment 03 determined that a design basis missile strike of the upper half of the exhaust stack could bend the stack sufficiently to affect operation of the engine. The NRC reviewed a similar issue at a plant with a similar licensing basis (Point Beach) and stated in TIA 2012-07 (ML12115A080) that EDGs are expected to survive a tornado with the capability to perform their safety function intact. Tornados are part of the required range of design physical conditions in which the EDGs must be able to operate. The NRC reviewed issues related to tornado missile protection in RIS 2015-06 (ML15020A419). Licensees that identify tornado generated missile non-compliances that result in a TS LCO required shutdown may receive enforcement discretion. The EGM allows SSCs to be restored to an operable but non-conforming status provided certain compensatory measures are taken. SSCs that are determined to be inoperable should be declared (logged) as inoperable, the initial compensatory measures should be implemented, and the SSC should be declared operable but non-conforming by applying EGM 15-002. Additional compensatory measures specific to the vulnerability must be implemented within 60 days. The enforcement discretion will remain in effect for 5 years after the issuance of RIS 2015-06 (6/10/15) for Group B plants, which includes Peach Bottom. The enforcement discretion does not relieve the licensee of any reporting requirements. The resident inspector has been informed of this issue and of the intent to utilize enforcement discretion. Extent of Condition After issuance of ISG-2016-01 in February 2016, Exelon Corporate Engineering initiated a project to identify the licensing basis for tornado missiles at all Exelon plants. Corporate Engineering also contracted with S&L to perform plant walkdowns at Exelon sites to identify potential vulnerabilities. S&L has completed their walkdown at Peach Bottom and a report of potential vulnerabilities has been provided to the site. Because S&L was not fully knowledgeable of the licensing and design basis of the plant, additional review is being performed by PEDM to identify any non-compliances. Cause This is a design issue not recognized during the original licensing of the plant. Other plants have identified similar non-conformances, and the NRC determined that a period of enforcement discretion was appropriate to allow the industry to resolve the non-compliances. Related Issues at other Exelon plants IR 2673848 and IR 2673854 were initiated at Byron and Braidwood for nonconforming conditions related to tornado missile protection.","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(D)']"
"Received report that an employee entered a secondary containment interlock and identified that both doors of the Unit 2 Reactor Building 710' Elevation Reactor Building 3 Way Air Lock (doors 507 and 402) opened simultaneously. The employee immediately secured both doors in the interlock and notified the Main Control Room Supervisor. Both doors in the interlock were open for approximately 5 seconds. With both doors open, TS SR 3.6.4.1.2 was not met. This rendered secondary containment inoperable per TS 3.6.4.1. Reactor Building differential pressure, as observed in the Main Control Room, has remained less than -0.25"" H20 at all times. Entered and exited the TS 3.6.4.1 LCO Required Action RA A.1, Restore secondary containment to OPERABLE status within 4 hours for both units. MIF was in progress at the time of this event, and was temporarily suspended and re-entered with LOP-AA-03, Attachment D (Unit 1 and 2) for Moving Irradiated Fuel in the Secondary Containment re-verified. The air lock has been secured/blocked.",['50.72(b)(3)(v)(C)']
"Investigated report of possible failure of the Unit 2 595' RB door interlock circuit. Determined the reactor building door (2-0020-152) is not always actuating the interlock circuit correctly, potentially allowing the turbine building door to open with the reactor building door open. Investigation by EMD determined relay 2-0020-152-DL-2 is intermittently sticking and shows signs of overheated and damaged contacts. Noted similar discoloration on relay 2-0030-119-DL-1, although that relay does not have the obviously damaged contacts. A separate IR will be written to replace that relay. Refer to 4E-6833A Sheet 3 and 4E-6832A Sheet 2.",[]
"On February 13, 2017 at 2309 CST, Unit 1 Reactor Automatic Scram signal was received due to Turbine Control Valves Fast Closure. The turbine trip was due to the main generator trip on Differential Current. The 'U' safety relief valve actuated in the relief mode on the turbine trip, and has subsequently reset with tailpipe temperature returning to normal. Plant is in a stable condition with reactor pressure being maintained by the Turbine Bypass valves. Reactor water level is being controlled with feedwater.",['50.72(b)(2)(iv)(B)']
Entered a secondary containment interlock and identified that both doors of the Unit 1 Reactor Building 710' Elevation Reactor Building Air Lock (doors 225 and 226) opened simultaneously. Immediately secured both doors in the interlock and notified the Main Control Room Supervisor. Both doors in the interlock were open for approximately 5 seconds.,['50.72(b)(3)(v)(C)']
"Received several annunciators associated with transient on 138 kV off site source. Transient resulted in the following: VF fans tripped, VC-A chiller tripped, VD exhaust fan 1VD02CA tripped, FPM skid isolation valves shut, H2O2 isolations valves shut, 1SA029 Cnmt SA Outboard Isol shut, NSPS Inverter Trouble (loss of sync), SX-A pump auto started, ERAT SVC tripped. After multiple transients the 138 kV line de-energized and Div 1 Bus fast transferred to RAT.",['50.72(b)(3)(v)(C)']
"The MSIV results for As Found Local Leak Rate Testing: Alpha line: Inboard = 10,632.08 sccm Outboard = 39,861.44 sccm Bravo line: Inboard = 21,611.35 sccm Outboard = 23,255.60 sccm Charlie line: Inboard = 19,396.70 sccm Outboard = 16,297.92 sccm Delta line: Inboard = 53,921.61 sccm Outboard = 59,698.8 sccm As Found Min Path = 102,463 sccm As Found Max Path = 142,212.5 sccm The MSIV's for Clinton Power Station have two Tech Spec limits for past operability. The first is the valve with the least As-Found leakage (Min Path) in each line must be below 100 scfh (47,195 sccm). The second is the As-Found combined leakage of the best valve in each line must be below 200 scfh (94,390 sccm) when tested at Pa to 1.1 Pa (9 to 9.9 psig). First Tech Spec Requirement per line leakage: As Found Min Path leakage for the MSIV that exceeded 47,195 sccm limit: Delta Inboard 53,921.61 sccm and Outboard 59,698.8 sccm Second Tech Spec Requirement total combined < 94,390 sccm: Alpha = 10,632.08 sccm + Bravo = 21,611.35 sccm + Charlie 16,297.92 sccm + Delta 53,921.61 sccm = 102,463 sccm",['50.72(b)(3)(ii)(A)']
"5/30/27 20:38 - The reactor automatically scrammed during SCRAM time testing in with the reactor at approximately 28% power and Reactor Recirc Pumps in slow speed (FCV's manually locked out). Placed Mode Switch in Shutdown. Entered Reactor Scram Off-Normal and EOP-Stationed Tapia as Incident Assessor. 20:40 - Manually tripped Main Turbine and Generator. 20:43 - Established level band level 3 to level 8 and pressure band 500 - 800 psig. 20:50 - Removed CP E from Rinse and removed CP D from service. CP A, C, & F are in service. 20:51 - Placed TBCCW Pump and Heat Exchanger B in service. 20:55 - Started Condenser Vacuum Pump B, commenced shutdown SJAE B. 21:08 - SJAE B shutdown complete through 3215.01 step 8.1.4. 16. 21:30 - New pressure band 400 - 600 psig. 22:00 - Plant conditions are stable, exiting Scram Off-Normal and EOP-1. 22:13 - Shifted Gland Seal to Aux steam per 3107.01 section 8.1.1.2. 22:26 - Main Turbine is reset. Still need to reset 1PA06J. 23:00 - Completed Main Turbine shutdown per 3105.01. Turbine oil heater is energized.",['50.72(b)(2)(iv)(B)']
"MMD/RP commenced work on RT 'B' pump at approximately 21:17 June 1, 2017. At approximately 02:30 6/2/2017, an announcement was made stating the plant was entering startup requiring Primary and Secondary Containment to be established. When questioned, the RP Tech stated that they did not hear this announcement. Plant entered Mode 2 at 02:41 6/2/2017. At 03:00 6/2/2017, an SRO was transiting to 762 AB West side from the CB East elevator on the 737 elevation. While going past RT 'B' pump room saw an RP Technician dressing out and another Maintenance Technician at the outside of RT 'B' Pump Room CA boundary. At that time the outer door was propped open. Upon looking into the RT pump room access saw the inner door was also propped open with welding cables routed into the pump room. At 03:01 the WCS was notified that these 2 doors were propped open. At 03:03, the CRS was notified that I discovered the inner and outer doors propped open to perform welding in RT 'B' Pump room. I went back to the pump room at about 03:10 to speak to MMD and was informed they were almost fully complete and I waited until both doors were secured. I then informed the RP and Maintenance Technicians that the doors can only be opened one at a time since we are in Mode 2. I called the MCR at 03:23 to inform the CRS that both doors were now closed and cabling for the welding machine was removed. PBI-2017-05-045 was issued 5/9/2017 for door 1DR-190 and subsequently closed out 5/29/2017. PBI-2017-05-046 was issued 5/9/2017 for door 1DR-261. PBI-2017-05-46 was modified 6/2/2017 to include both doors being open (1DR-261 and 190), Security was notified to commence hourly fire tours. PBI-2017-05-046 was closed 6/2/2017 for both doors (1DR-261 and 1DR-190) after they were closed, Security was notified to secure hourly fire tours.",['50.72(b)(3)(v)(C)']
"Performed a manual Rx Scram due loss off feedwater heating. Reactor was operating normal steady state full generator output at onset of the transient. 22:56 - Received numerous FW trouble alarms on FW string 'A', LP HTR 1A/1B bypass opened (1CB004). Entered Loss of FW heating off-normal 4005.01, Stationed Dennis Suchyta as Incident Assessor. Initial Feedwater temperature was 424F Performed immediate actions and closed A/B FCV from 85%/93% to 64%/77% - Initial Core flow - 82.6 MLBS/H - Above the MELLA limit 23:03 - Inserted all CRAM rods per sequence A2-02 - Final Core flow - 75.5 MLBS/HR - Below the MELLA limit 23:05 - Feedwater inlet temperature has dropped by 100F 23:06 - Placed Rx Mode Switch in S/D, entered CPS 4100.01, Reactor SCRAM off normal, Entered EOP-1 Established Rx Level band LVL 3 to LVL 8, Pressure band 800-1065psig 23:07 - Manually tripped main turbine 23:13 - Main turbine is reset 23:14 - Placed TBCCW Pump and Heat Exchanger B in service 23:24 - Started CA pump 'A' 23:47 - Condensate Polisher Status: A - Off service D - Off service F - Off service G - Off service H - Off service J - Off service B - On service C - On service E - On service CD pump 'D' running CB pump 'D' running MDRFP running 23:58 - Reset FCV runback, both RR FCV have been returned to 90% and locked out 06/11/2017: 00:16 - Exited EOP-1, entered 3006.01 00:45 - Initiated 9000.06D001, HEATUP/COOLDOWN, INSERVICE LEAK AND HYDROSTATIC TESTING 30 MINUTE TEMPERATURE LOG 01:05 - 1CY071 is throttled open to maintain 1CY003 20-40% open per 3304.01 section 8.2.18. 01:20 - Core monitor secured SJAE 'B' shutdown currently in progress Electrode 'B' startup in progress",['50.72(b)(3)(ii)(B)']
"While performing 9069.01 step 8.5.3 the SX pump C switch was taken to start and red light came on in the MCR. The following valves began to stroke, 1SX006C and 1SX014C. Approximately 30 after the switch was taken to start the amber light came on for SX C pump along with 5064-1A annunciator Auto Trip SSW pump 1C. The report from the field (EM's) was that the shaft never moved. The EM's recorded 470 amps of in rush current. The EM's were in the process of switching their meter over to record running amps when the pump tripped. The EM's believed that it is possible that the SX C pump tripped on thermal overloads. The EM's also reported a slight smell in the room that could have been coming from the thermal overloads.",['50.72(b)(3)(v)(D)']
"During performance of N2-OSP-RPS-Q001, the Reactor scrammed on an automatic scram signal. Step 8.3.92 of N2-OSP-RPS-Q001, which stroked turbine control valves 1 and 2, was being performed at the time of the reactor scram. The automatic scram signal generated was due to Reactor HI Pressure. All systems responded as expected to the reactor scram signal.",[]
ERAT SVC tripped. Ameren informed CPS that the Clinton Substation breaker tripped and closed most likely due to weather conditions and that the 138Kv line was available for use.,['50.72(b)(3)(v)(C)']
"During performance of QCOS 2300-05, HPCI Pump Operability Test, the Unit 1 HPCI turbine did not trip when the REMOTE HPCI Turb. Trip pushbutton was depressed at step H.59.f.1. The NSO attempted to re-perform step H.59.f.1 multiple times with EMD present to check resistance across the pushbutton. Repeated use of the pushbutton did not cause the HPCI turbine to trip. The Unit 1 HPCI flow controller setpoint was set to 0 GPM at 1806 and flow reduced to approximately 3600 GPM. At time 1810 the US ordered Unit 1 HPCI to be shutdown by isolating the 1-2301-4 and 1-2301-5 valves, and this caused HPCI flow to reduce to 0 GPM. The 1-2317 HPCI stop valve remained open after the HPCI turbine was no longer turning. The local HPCI trip lever was withdrawn with no change in stop valve position or other parameters. During further QCOS 2300-05 steps the HPCI auxiliary oil pump was shutdown, which caused the 1-2317 HPCI stop valve to close. U1 HPCI remains isolated with the 1-2301-4 and 1-2301-5 valves closed.",['50.72(b)(3)(v)(D)']
"Received multiple alarms due to trip of 4160V 1A1 breaker 1AP07EJ, 480V XFMR 1A and A1 breaker. Dispatched area operators to investigate trip of breaker. Many division 1 components lost power (powered from unit subs 1A and A1). Noted containment IA valves had lost power and were closed. Commenced monitoring for scram pilot air header pressure low alarm and potential for control rods to drift due to loss of air. Entered the Loss of IA, Loss of AC Off Normal procedures. Stationed Glidden as IA. 13:48 -- Secondary containment differential pressure has trended up and is positive due to a loss of Fuel Bldg ventilation (isolation dampers lost power). Entered EOP-8 due to low secondary containment differential pressure. 13:50 -- Div 2 VG was placed in service at 13:51 and secondary containment differential pressure was restored back in the normal band. On loss of 480 Volt Bus A and A1 lost the following: Division 1 AC Powered MOVs, Division 1 Isolation Dampers, Division 1 Water Leg Pumps, AC Power to Division 1 Battery Charger","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(v)(C)']"
"This IR identifies a non-conforming condition with the Emergency Diesel Generator (EDG) Main Fuel Oil (FO) Storage tank vents with respect to tornado missile protection. Since the fuel oil supply (with the vent pipe) is an integral component of the EDG's and is not protected against tornado missiles, the design does not meet the licensing basis and a non-conforming condition exists. This design vulnerability applies to all three of Dresden's main fuel oil tank vents (EDG Fuel Oil Tank Vent Pipes: 2-5214-3"", 3-5214-3"" and 2/3-5214-3""). Since the vent piping for each main fuel oil tank is not protected from missiles, an event can be postulated that the vent piping becomes plugged or blocked from relieving negative pressure inside the main fuel oil tank while the day tank is being replenished. The EDGs would be expected to start and run until the day tank is depleted (approximately 4 hours). If the obstruction is not removed to allow the main storage tanks (EDG Fuel Oil Tanks: 2-5201, 3-5201, 2/3-5201) to equalize with atmospheric pressure, the fuel oil transfer pumps would lose the ability to refill the day tank and the EDGs would have no fuel oil for continued operation. NRC Enforcement Guidance Memorandum EGM 15-002, Revision 1, provides for application of NRC enforcement discretion which allows the diesel generators U2 Emergency Diesel Generator, 2/3 Emergency Diesel Generator and U3 Emergency Diesel Generator to be returned to an operable status based on the application of Compensatory Measures which are intended to minimize the likelihood that the tornado event would result in a failure of the EDGs. Application of the guidance in EGM 15-002, revision 1, and, NRC DSS-ISG-2016-01, revision 1, Appendix A, describes acceptable initial and comprehensive compensatory measures necessary to ensure that the identified nonconforming condition in this issue report can be treated by the NRC with enforcement discretion. The measures listed below should be verified as current and readily deployable within a very short timeframe. The resident inspector has been informed of this issue and of the intent to utilize enforcement discretion in accordance with EGM 15-002 (Rev 1). Extent of Condition: In August of 2015, Exelon Corporate Engineering initiated a project to identify the licensing basis for tornado-generated missiles at all Exelon plants. A report of initial potential vulnerabilities was generated using overly conservative assumptions (EC 404048). Additional reviews are being performed by Dresden Engineering and other departments with final discovery to be completed and documented in EC 619558. Cause: This is a legacy design issue not recognized during the original licensing of the plant. Other plants have identified similar non-conformance, and the NRC determined that a period of enforcement discretion was appropriate to allow the industry to resolve the non-compliances.","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(D)']"
"This IR identifies a non-conforming condition with the Unit 1, Unit 2 and Unit Emergency Diesel Generator (EDG) intake and exhaust stacks, fuel oil tank vents, and day tank vents with respect to tornado missile protection. If any of these lines were to become crimped by a missile impact, the associated EDG could become inoperable. The NRC has provided guidance for such issues in Enforcement Guidance Memorandum (EGM) 15-002, Regulatory Issue Summary (RIS) 2015-06, and Interim Staff Guidance DSS-ISG-2016-01. This IR documents the non-conforming condition and the implementation of EGM 15-002 to transition the SSCs from inoperable to operable but non-conforming. This IR documents that initial compensatory measures are in place, tracks development of longer term compensatory measures (within 60 days), and tracks resolution of the issue (by June 10, 2018), per the EGM 15-002 and DSS-ISG-2016-01. EC 619116 documents the evaluation performed to determine what, if any, non-conforming conditions regarding tornado missile protection exist. This evaluation addresses all components required for safe shutdown that are vulnerable to a tornado missile strike. Due to the ambiguity in the licensing basis, with regard to exterior missiles, the EDG intake and exhaust stacks, fuel oil tank vents, and day tank vents are conservatively being identified as non-conforming. The NRC reviewed issues related to tornado missile protection in RIS 2015-06. Licensees that identify tornado generated missile non-compliances that result in a Tech Spec (TS) LCO required shutdown may receive enforcement discretion as described in EGM 15-002. SSCs that are determined to be inoperable should be declared (logged) as inoperable, initial compensatory measures should be implemented and the SSC can be declared operable but non-conforming. Per EGM 15-002, additional compensatory measures specific to the vulnerability must be implemented within 60 days. The enforcement discretion will remain in effect for 3 years after the issuance of RIS 2015-06 (to 06/10/18). The enforcement discretion does not relieve the licensee of any reporting requirements. The resident inspector has been informed of this issue and of the intent to utilize enforcement discretion in accordance with EGM 15-002. EGM 15-002 states, ""The staff will exercise this enforcement discretion only when a licensee implements initial compensatory measures prior to the expiration of the time allowed by the LCO that provide additional protection such that the likelihood of tornado missile effects are lessened."" The EGM provides examples of potential compensatory measures that may be taken to lessen the effects of tornado missiles. The examples listed are: a)Development and implementation of procedures and conduct of training for plant staff in performing compensatory and mitigating actions related to tornado missile impact effects on identified safety-related SSCs, b)Actions to be taken if a tornado watch is predicted or issued for the area to secure potential missiles, protect equipment that could affect safety-related SSC operation, cease maintenance activities in progress on equipment that could affect availability of SSCs, repair/restore SSCs if undergoing maintenance, stage equipment necessary for mitigative actions in protected but promptly accessible locations, and c)Actions to be taken if a tornado warning is issued for the area (e.g., pre-staging of plant staff at safe, strategic locations to promptly implement mitigative actions, and alerting plant staff necessary for prompt mitigative actions of preparation for response following severe weather conditions). Procedures QCOA 0010-10 (Tornado Watch/Warning, Severe Thunderstorm Warning, or Severe Winds) and OP-AA-108-111-1001 (Severe Weather and Natural Disaster Guidelines) contain the existing Quad Cities compensatory measures as required by the EGM. These two procedures are entered concurrently when the entry conditions exist. Step D.10 of QCOA 0010-10 describes actions to consider if a tornado watch or severe thunderstorm is issued for an area that includes Quad Cities Station (upper Rock Island County). Actions to consider are: Designate personnel to inspect the site for potential missiles and secure the items as necessary. Verify the Unit 1, Unit 2 and Unit 1/2 Emergency Diesel Generators are available. If minor maintenance is being performed or short duration Clearance Orders are in effect on any Diesel Generator, consider returning the Emergency Diesel Generator to available status. If the Unit 2 125 VDC Alternate Battery is supplying Station loads, consider transferring back to the Normal Unit 2 125 VDC Battery. If the 345 kV ring bus is open, or is planned to be opened, for maintenance, consider taking actions to restore the ring bus as soon as possible and delay the planned maintenance. Review in-progress and planned work activities and consider expediting in-progress work and/or delaying upcoming work on systems needed to mitigate a loss of off-site power, mitigate transients, or place the Unit in a Cold Shutdown condition. If FLEX equipment is located external to the building for surveillance testing, then curtail the testing and return all equipment to storage. Procedure OP-AA-108-111-1001, Step 4.3 (Guidelines for High Winds and Tornados) provides similar guidance for preemptive actions that are contained in QCOA 0010-10. Once the storm has passed, Step D.16 of QCOA 0010-10 describes actions to compensate for potential damage to the Emergency Diesel Generator's intake and/or exhaust stacks. This step states, ""If damage to any EDG's intake or exhaust piping is sufficient to consider the particular EDG inoperable, then the damaged portion of piping can be removed by any available means to allow operation of the subject EDG.""","['50.72(b)(3)(ii)(B)', '50.72(b)(3)(v)(D)']"
"While Allied Boilermaker was shutting the inner airlock door on 828 containment personnel airlock after moving equipment in, he noticed the outer door was off its seat and coming open. He immediately shut the inner door and proceeded to call the Control Room. During this time Allied Pipefitters were opening the outer door. Both door indicators indicated closed prior to the outer door being opened. There was no resistance to opening of the outer door. When the outer door was about half open, the crew outside heard a grinding noise coming from inside the airlock. They entered the airlock and closed the outer door normally with no further adverse noises. They opened the inner door with no issues as they had not seen the inner and outer doors open at the same time and did not know there was a problem. The crew then left the containment through the same doors with no indication of any mechanical issues.","['50.72(b)(3)(ii)(A)', '50.72(b)(3)(v)(C)']"
"During the performance of 1BwOSR 3.8.1.11-1, 1A Diesel Generator Loss of ESF Bus Voltage with NO SI Signal, the 1A EDG did successfully start up and energize ESF Bus 141 as designed upon the actuation of an undervoltage to ESF Bus 141. The ESF loads were sequencing onto the Bus and after the 1A Aux Feedwater pump sequenced on the 1A EDG lost indication of speed and voltage and ESF Bus 141 also did not have voltage or amp indications. Individual motors that had sequenced onto the Bus also indicated 0 amps. The 1A EDG was still running with its output breaker ACB 1413 still closed. A loss of ESF Bus 141 was announced and the MCR team entered 1BwOA ELEC 3 for the loss of ESF Bus 141. The actions of 1BwOA ELEC-3 were successful in energizing Bus 141 from Unit 2 through the cross tie breakers although the first attempt to close in ACB 1414 resulted in the breaker closing into an immediate trip. The RNO actions were taken which directed the local operator to depress the Emergency stop pushbutton for the 1A EDG and then sync and close ACB 1414 which was successful.",['50.72(b)(3)(iv)(A)']
"During a 1B Diesel Generator monthly run the 1B DG tripped. Local panel annunciator 1PL08J-1-A7, Engine Overspeed is lit. Report from the 1B DG room is the turbocharger inlet butterfly valve springs are broken.",['50.72(b)(3)(v)(B)']
"On Sunday, April 22, 2018 at 1646, a valid actuation of Engineered Safety Feature (ESF) Bus 141 Undervoltage (UV) Relay occurred. At the time, Unit 1 was performing a pre-planned 1A Diesel Generator (DG) Emergency Core Cooling System (ECCS) Actuation Surveillance, initiating the 1A DG to emergency start and sequence loads on a safety injection signal. Following the 1A DG solely supplying electrical power to Bus 141, the 1A DG lost voltage resulting in an unplanned UV actuation of ESF Bus 141. The 1A DG output breaker was manually opened and local emergency stop of the 1A DG was attempted. The 1A DG continued to run at idle. Fuel supply was secured to the 1A DG and the engine stopped. Subsequently, operators restored power to ESF Bus 141 from the Unit 1 Offsite Power Source. Following the shutdown of the 1A DG, BwOP DG-12T1 was completed with the following engine trips lit on the 1A DG panel: Engine Overspeed Engine Trip Under Frequency. 1BwOA ELEC-3 was entered and exited due to a momentarily loss of power to Bus 141. Off site power was restored to Bus 141 and the 1A DG control switch and ACB 1413 were placed in pull-to-lock.",['50.72(b)(3)(iv)(A)']
At 04/30/2018 11:23:21.048 Unit 1 tripped on PN1025 TURBINE MOTORING GENERATOR -TRIP. Troubleshooting in progress.,"['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"At 0248, with the plant Shutdown in Mode 4, Nine Mile Point Unit 2 experienced a partial loss of off-site power during relay testing that resulted in an automatic start of the Division 2 Emergency Diesel Generator, trip of Shutdown Cooling Pump and Trip of Spent Fuel Pool Cooling pump along with automatic sequencing of the stations Service Water System. All systems responded as expected for the event. The station responded in accordance with appropriate Special Operating Procedures and restored impacted systems. Shutdown cooling was out of service for 6 minutes and reactor temperature increased approximately 2 degrees during the transient. Spent fuel pool temperature increased approximately 3 degrees during the transient and was restored approximately 23 minutes after the loss of power. Required notification was made to the NRC at 0859 under event report EN#53395.",['50.72(b)(3)(iv)(A)']
