content,subsections
"During a Clinton Power Station (CPS) review of an event at the Browns Ferry Station (ENS 47374), CPS determined that the original plant wiring design for the station battery ammeter circuits contains a shunt in the current flow from each direct current (DC) battery. Bolted onto the shunt bar are two Institute of Electrical and Electronics Engineers (IEEE) IEEE-383 qualified leads to an ammeter in the main control room (MCR). The small difference in voltage between the two taps on the shunt is enough to deflect the current meter in the MCR when current flows from the battery through the shunt. The ammeter wiring attached to the shunt does not have fuses, and if one of the ammeter wires shorts to ground at the same time another DC wire from the opposite polarity on the same battery also shorts to ground, a ground loop through the unfused ammeter cable could occur. With enough current going through the cable, the potential exists that the overloaded ammeter wiring could damage safe shutdown wiring in direct physical contact with the cable resulting in a loss of the associated safe shutdown function/capability. The cause of this deficiency is the original design criteria not specifying protection for shunt fed ammeter circuits. A modification is planned to correct the deficiency. Compensatory measures have been established until the modification has been installed.",['10 CFR 50.73(a)(2)(ii)(B)']
"On 11/12/2021 at 16:05 while Unit 3 was in Mode 3 at 0% power through-wall leakage was verified from 3/8"" tubing associated with a Reactor Vessel Core Exit Thermocouple. The leakage was identified during the Class 1 leak inspection performed at Normal Operating Pressure and Temperature (NOP/NOT) conditions at the end of the Unit 3 Cycle 32 refueling outage. At 20:47, FPL performed the 8-hour non-emergency notification to the NRCOC. Unit 3 was brought to Mode 5 and the repairs were completed. The Class 1 leak inspection was satisfactorily performed after NOP/NOT conditions were reestablished. Unit 3 has since been returned to service from the refueling outage and is operating at 100% power.",['10 CFR 50.73(a)(2)(ii)(A)']
On May 31  2018 at 1420 EDT  the Reactor Water Cleanup (RWCU) System Isolation Differential Flow - High function was declared inoperable as a result of the RWCU Differential Flow Indicator reading downscale. This condition would have prevented the primary containment isolation valves for the RWCU system from automatically isolating on a high differential flow signal. The cause of the downscale reading was due to a capacitor failure within the square root converter. Corrective actions were taken to replace the capacitor within the square root converter and return the RWCU System Isolation Differential Flow - High function to operable on June 1  2018 at 0947 EDT. Additional corrective actions included verification of the shelf life of the current inventory of capacitors and a 10-year preventative maintenance activity to replace the capacitor due to the 10-year service life. The safety related function of the RWCU System is to provide primary containment isolation upon receipt of a primary containment isolation signal  or upon indication of a high-energy line break (HELB) in the RWCU System piping in response to the following signals: low reactor water level 2; high RWCU equipment temperatures; high RWCU pump room differential temperature; or high RWCU System differential flow. Due to the availability of other automatic RWCU isolation functions as well as the ability to manually isolate RWCU  the safety significance of this event is very low. There were no radiological releases associated with this event.,"['10 CFR 50.73(a)(2)(v)(C)', '10 CFR 50.73(a)(2)(v)(D)']"
On February 19 2015 during performance of surveillance procedures three of eight Division 2 Main Steam Differential Pressure Indicating Switches failed to trip prior to exceeding limits set in Technical Specifications (TS). Investigation revealed that the setpoint change calculations and surveillance procedures had been inappropriately revised during implementation of TSTF-493. The applicable setpoint change calculations and surveillance procedures have been revised to pre-TSTF-493 values. This event is being reported as an operation or condition prohibited by TS and also as a common cause inoperability of independent trains or channels. The event has negligible safety significance based on the safety function associated with the main steam high flow isolation signal was preserved through successful testing of five of the eight Division 2 switches.,"['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(vii)']"
"On February 25 2013 at approximately 1313 hours Central Standard Time, the Browns Ferry Nuclear Plant (BFN) Unit 3 reactor automatically scrammed due to an actuation of the Reactor Protection System from a turbine trip. The turbine tripped on low condenser vacuum due to a reactor feedwater piping separation. The Main Steam Isolation Valves were manually closed. There was one Safety Relief Valve that was manually operated to maintain reactor pressure due to the unavailability of the Main Turbine Bypass Valves upon loss of condenser vacuum. All systems responded as expected to the turbine trip. No Emergency Core Cooling System or Reactor Core Isolation Cooling (RCIC) system reactor water level initiation set points were reached. Reactor water level was controlled with the RCIC system and reactor pressure was controlled with the High Pressure Coolant Injection system. The root causes for this event are: the feedwater long cycle valve design is incorrect for its specified application and station personnel do not consistently consider risk when making decisions. The corrective actions to prevent recurrence are: issue and implement design change to replace BFN Units 1, 2, and 3 feedwater long cycle valves and implemented a Strategic Performance Management process to reinforce and institutionalize conservative decision making principles at BFN.",['10 CFR 50.73(a)(2)(iv)(A)']
"On October 7, 2022, at 1740, it was identified that the Maximum Combined Flow Limiter In Control light was lit with the Steam Bypass and Pressure Regulating system on the ""B"" channel. This light being lit indicates that the max combined flow limiter is in control, which limits steam flow to the main turbine and condenser through the control valves and bypass valves. This indication appeared to be an erroneous indication as reactor power and pressure remained stable. The system contains two channels of pressure regulation, an ""A"" and ""B"" channel. A failure in either channel could cause the light to illuminate. A troubleshooting team was developed to determine the potential failure modes. On October 13, 2022, during problem solving for the Maximum Combined Flow Limiter In Control light, the problem solving team determined the ""A"" channel was operating normally and that the ""B"" channel would prevent the bypass valves from responding to a pressure perturbation with the steam bypass and regulating system operating on the ""B"" channel. The control room shifted off the ""B"" channel to the ""A"" channel and declared the ""B"" channel inoperable. The direct cause of the Maximum Combined Flow Limiter Light was the failure of ""B"" Flow Demand circuit card based on the indications obtained and observable damage found on the card during replacement. Corrective action was taken to replace the failed card. The safety significance of this event is considered to be very low. This condition is reportable as an operation or condition prohibited by the plant's technical specifications. Technical Specification (TS) 3.7.6 requires the main turbine bypass system to be operable with rated power greater than 23.8 percent. When the ""B"" channel was in control, it was determined that the system was not operable. TS 3.7.6 requires that bypass valve operability be restored within 2 hours, otherwise be less than 23.8 percent power within 4 hours. With firm evidence that the issue had existed on October 7 and with the inoperable ""B"" channel in control until October 13 the required actions of TS 3.7.6 were not taken, and a condition prohibited by TS resulted.",['10 CFR 50.73(a)(2)(i)(B)']
"On October 23, 2010, during a refueling outage for Browns Ferry Nuclear Plant (BFN) Unit 1, the Tennessee Valley Authority (TVA) discovered that a Residual Heat Removal (RHR) Loop II low pressure coolant injection (LPCI) flow control valve failed to open while attempting to establish shutdown cooling (SDC) while in Mode 3. Operations personnel declared RHR Loop II inoperable for ECCS and placed RHR Loop I in service for SDC. Unit 1 Technical Specification (TS) limiting condition for operation (LCO) 3.5.1, Emergency Core Cooling System (ECCS) - Operating, requires both RHR loops of LPCI to be operable in reactor Modes 1, 2, and 3. Investigation of the valve failure to open determined that the root cause was a manufacturer's defect resulting in undersized disc skirt.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(A)', '10 CFR 50.73(a)(2)(v)(B)', '10 CFR 50.73(a)(2)(v)(D)']"
"On May 22, 2012, at 0249 Central Daylight Time, the BFN Unit 3 reactor was automatically scrammed due to de-energization of the Reactor Protection System from actuation of the 3A Unit Station Service Transformer (USST) differential relay 387SA, which resulted in a loss of 500 kilovolt (kV) power to BFN Unit 3. All safety systems responded as expected to the loss of 500kV power. No Emergency Core Cooling System or Reactor Core Isolation Cooling (RCIC) System reactor water level initiation set points were reached. The RCIC System was manually started to control reactor water level. Primary Containment Isolation System initiation signals for groups 1, 2, 3, 6, and 8 were received as expected due to loss of power. The immediate cause of this event was the 3A USST differential relay was installed with incorrect design calculation settings which resulted in the BFN Unit 3 scram. The root cause of this condition was inadequate procedural guidance within NEDP-5 Design Document Reviews for the types of review required by engineering. The corrective action to prevent recurrence is to revise NEDP-5 Design Document Reviews to establish the definition and requirements for each type of review.",['10 CFR 50.73(a)(2)(iv)(A)']
During an operator tour of the train A Emergency Diesel Generator (EDG) room on March 1  2014 at approximately 12:39  it was discovered that the filter housing cover on the EDG A Starting Air Filter had unfastened from its base and was lying on the floor. The last successful start of the EDG A that demonstrated its capability to meet its safety function was on February 27  2014 at 11:33 and it is postulated that the cover became unfastened during that run. Therefore  EDG was potentially inoperable for 2 days as a result of this condition. Since the condition was unknown at the time  the Technical Specifications required test of EDG B was not performed within 8 hours and the requirement to demonstrate the operability of the remaining A.C. circuits at least once per 8 hours or to be in Hot Shutdown within the next 6 hours was not performed. The cause was insufficient tightening of the filter housing cover during maintenance on April 8  2013. The insufficient tightening had not been preventing the EDG A's ability to start within the required times prior to its becoming unfastened. EDG A was returned to OPERABLE condition by refastening the filter housing cover to its base. The other filter housings on EDG A and EDG B were verified to be properly fastened. An evaluation is being conducted to determine if a torque requirement is necessary for the filter housing covers.,['10 CFR 50.73(a)(2)(i)(B)']
"At 1801 hours EST on 11/5/2013 with the Unit in Mode 1 at 19% power Robinson Nuclear Plant (RNP) experienced an automatic reactor trip while operators were transferring loads from the Startup Transformer (SUT) [EA] to the Unit Auxiliary Transformer (UAT) [EA] as part of activities associated with coming on line and increasing power following Refueling Outage 28. During the coordinated breaker operation, the reactor tripped when an anomaly occurred that resulted in the actuation of two undervoltage relays associated with the loss of 2 of 3 4KV buses. The 'A' Emergency Diesel Generator (EDG)[EB] auto-started and supplied the E-1 emergency bus [EB] as a result of the undervoltage transient. The investigation into the cause of this event determined that advanced aging/fatigue of the phenolic operating rods of the UAT breaker (52/7) caused the failure of the 'B' phase operating rod, which prevented closure of the 'B' phase of the breaker. The corrective action to address rod failure involved replacement of operating rods in all four incoming breakers. The cause of the failure of the 'A' Service Water Pump to sequence onto the E-1 bus during the blackout sequence was attributed to a loose wire termination in the Emergency Control Station. This event did not impact the health and safety of the public.",['10 CFR 50.73(a)(2)(iv)(A)']
"During scheduled testing at the offsite testing facility the as-found lift settings for the pressurizer safety valves (PSVs) previously installed in Unit 1 at the 1RV200 and 1RV201 locations were measured outside the Technical Specification allowable values (both valves lifted low). The valves had been installed during the 2012 Unit 1 refueling outage and were removed during the 2014 Unit 1 refueling outage for scheduled testing and maintenance. Spare valves were installed during the 2014 refueling outage. The failed valves were disassembled and inspected at the offsite facility. The apparent cause of the PSV failures is that the internal lift spring assemblies of a specific manufacturer lot failed to hold PSV set pressure. This apparent cause will be verified as the removed internal lift spring assemblies for each valve is further reviewed, examined, and tested to support this apparent cause. No other installed PSVs contain internal lift spring assemblies from this specific manufacturer's lot.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(vii)']"
"On July 7, 2015, at approximately 1435 EDT, during Post-Maintenance Testing (PMT) of the Reactor Building Heating Ventilation and Air Conditioning (RBHVAC) System with the Standby Gas Treatment System (SGTS) operating, Secondary Containment (SC) pressure exceeded Technical Specification (TS) limits for approximately 41 seconds. At 1436 EDT, SC pressure was restored to within the TS limit of less than or equal to -0.125 inches water column. The cause of the event was reverse rotation of the RBHVAC center exhaust fan due to reversed electrical leads. Personnel responsible for oversight and execution of the PMT did not appropriately consider the possibility and adverse effects of prolonged reverse rotation. As a result, a normal post-installation test activity (i.e., a motor ""bump-check"" for rotation) was deviated from and produced unintended consequences. Corrective actions to improve decision-making and clarify work instructions are planned. There were no radiological releases associated with this event.",['10 CFR 50.73(a)(2)(v)(C)']
"On February 18  2017  at 3:37 p.m. CST  while a refueling outage was in progress  the operators were shifting subsystems of the main control building ventilation system. The Division 2 ""B"" chiller had been in service  and it was intended to start the Division 1 ""C"" chiller to facilitate the outage work schedule. After the swap  operators noted that the air flow was abnormally low  and within approximately four minutes  the ""C"" chiller tripped. The operators were unsuccessful in attempts to restore the Division 2 subsystem to service  and the abnormal operating procedures for the loss of control building ventilation were then implemented. The electrical distribution subsystems in the control building were declared inoperable due to the loss of the ventilation system. As described in the causal analysis  a circuit breaker manufacturing defect that violated the single failure requirements of Appendix A  General Design Criteria  was discovered. During the restoration of the ventilation system  main control room temperature increased from approximately 73F to 81F as recorded in the operator's logs. No high temperature alarms from the electrical equipment rooms actuated. Thus  this event was of minimal significance to the health and safety of the public. 10 CFR 21 is applicable to this event.","['10 CFR 50.73(a)(2)(ii)(B)', '10 CFR 50.73(a)(2)(v)(A)']"
"On March 8, 2022, a fuel oil tanker truck delivered a new fuel oil shipment of diesel fuel oil to Calvert Cliffs Nuclear Power Plant. As required per station procedure, samples were taken from the fuel oil tanker, with those necessary parameters verified within specification, prior to adding fuel oil to the fuel oil storage tanks. Other parameters, including fuel oil lubricity, may be analyzed after fuel oil is added to the storage tanks. The analysis for those parameters must be received within 31 days following the initial fuel oil sample. Sample results for the new fuel oil delivered on March 8, 2022, which were received on March 25, 2022, documented a lubricity value of 614 micrometers, which is above the acceptance criteria of less than 520 micrometers. However, an issue report was not generated, and the Operations Department was not notified; therefore, the required technical specification actions were not taken within the required action completion time. This represents a condition prohibited by the plant's technical specifications. The fuel oil in the fuel oil storage tanks was subsequently sampled and analyzed, with lubricity determined to be within the acceptable limit.",['10 CFR 50.73(a)(2)(i)(B)']
"As part of an apparent cause evaluation Pacific Gas and Electric Company (PG&E) identified an incorrect insulation configuration installed in 2010 on the thermal extension piping that houses the wires for the wide range (WR) reactor coolant system (RCS) resistance temperature detectors (RTDs). The insulation configuration as installed trapped heat inside the thermal extension piping and overheated the wires. The cause of the incorrect configuration of the insulation was insufficient guidance in the associated work package instructions. An engineering analysis completed on October 5, 2015, determined that the eight WR RCS RTDs had either failed or were operating outside the environmental qualification temperature range. As a result, on October 5, 2015, PG&E determined that the required number of WR RTDs would not have been operable and therefore a violation of Technical Specification 3.3.3, ""Post Accident Monitoring (PAM) Instrumentation,"" had occurred. As part of the corrective actions, PG&E replaced all eight WR RTDs, restored the insulation per the design requirements, revised the drawings for Unit 1 WR RTDs to provide adequate level of detail, and revised the work order to include the correct drawing and level of details for proper installation of all WR RTDs. This event did not adversely affect the health or safety of the public.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(vii)']"
"During the February 2017 Unit 2 refueling outage two main steam safety relief valves (SRV) did not pass Technical Specification (TS) Surveillance Requirement 3.4.4.1 and Inservice Testing (IST) Program lift pressure requirements. Both SRVs (2B21-F013C and 2B21-F013L) lifted below their expected lift pressures. On February 16, 2017, SRV 2B21-F013C was required to lift within plus or minus three percent of 1175 psi (i.e. 1175 psi plus or minus 35.2 psi), but actually lifted at 1131 psi. On February 17, 2017, SRV 2B21-F013L was required to lift within plus or minus three percent of 1195 psi (i.e. 1195 psi plus or minus 35.8 psi), but actually lifted at 1130 psi. Both SRVs lifted prior to their expected lift pressures, which is conservative in regards to maintaining reactor pressure vessel over-pressure limits. Both SRVs were replaced during the outage. The cause of the event is under review by the vendor testing facility and will be reported in a supplement to this LER upon completion.",['10 CFR 50.73(a)(2)(i)(B)']
"At 1124 Central Daylight Time on August 11 2017, Comanche Peak Nuclear Power Plant (CPNPP) Unit 2 experienced an automatic Auxiliary Feedwater System actuation during a Turbine trip. The plant was stabilized at 3 percent reactor power with the Auxiliary Feedwater System feeding all Steam Generators with all levels within their normal bands. The cause of the Turbine trip was high water level in Steam Generator 2-02 related to the mechanical malfunction of a Steam Generator 2-02 flow control bypass valve. The valve malfunctioned due to a loose locknut on the valve hand wheel. Corrective actions included repair of the Steam Generator 2-02 flow control bypass valve. All times in this report are approximate and Central Daylight Time unless noted otherwise.",['10 CFR 50.73(a)(2)(iv)(A)']
At 06:45 on November 8  2023  the 22 Steam Generator Feedwater Pump (SGFP) tripped on high casing water level. The pump was in service supporting heat removal following the Unit 2 automatic reactor trip that occurred the previous day. The 21 SGFP was in standby at the time and had a high casing water level as well. Therefore  Operations entered the applicable procedure and manually started the 23 auxiliary feedwater pump to reinitiate flow to the steam generators. Plant conditions during the event resulted in an excessive accumulation of condensate in the SGFP turbine casings. Station procedures did not account for the specific set of conditions that resulted in the SGFP turbine casing high water levels. This challenged operation of both SGFPs. The high turbine casing water level was corrected via a station work order. Planned corrective actions include review of station procedures for plant configurations similar to those realized during the subject event  and a performance analysis to determine if additional training is needed.,['10 CFR 50.73(a)(2)(iv)(A)']
"On February 22, 2012, at 2319 hours Eastern Standard Time (EST), a manual Reactor Protection System (RPS) actuation was inserted on Unit 1 in anticipation of a loss of condenser vacuum. Shortly before the manual RPS actuation, Circulating Water Intake Pump (CWIP) 1B tripped due to high delta-pressure across the intake traveling screen. This caused the trip of the remaining Unit 1 CWIPs. Previously, at 1859 hours, balance of plant (BOP) bus Common C unexpectedly de-energized. This resulted in a loss of power to the CWIP traveling screen motors which, in turn, lead to the high delta-pressure across the traveling screens. As a result of the scram, reactor water level reached the Reactor Vessel Water Level - Low Level 1 actuation set point and Primary Containment Isolation System (PCIS) Groups 2 and 6 isolations occurred. Additionally, the Main Steam Isolation Valves (MSIVs) (i.e., PCIS Group 1) were manually closed prior to reaching the Condenser Vacuum - Low actuation set point. The root cause of this event is inadequate preventive maintenance (PM) for the 4160/480 V transformer associated with the Common C BOP bus. Corrective actions include the establishment of appropriate PM tasks for the 4160/480 V transformers.",['10 CFR 50.73(a)(2)(iv)(A)']
On January 23  2016  James A. FitzPatrick Nuclear Power Plant (JAF) was ascending in power when screenwell water level started to lower. At 89 percent power  at 22:23  Operators began taking compensatory measures to reduce power and mitigate water level lowering. At 22:40  a manual scram was initiated. The scram was complicated by a residual transfer that resulted in non-vital equipment trips. This event resulted in the manual actuation of the Reactor Protection System  High Pressure Coolant Injection  Reactor Core Isolation Cooling  Main Steam Isolation Valves and automatic actuation of Emergency Diesel Generators  Emergency Service Water  and containment isolations in multiple systems. The lowering screenwell water level was caused by frazil ice blockage at the intake structure. The frazil ice stopped affecting screenwell water level after the manual scram. Corrective actions include strengthening mitigating actions in response to frazil ice. The residual transfer was caused by lubrication hardening in the lower control valve assembly of the 71PCB-10042 breaker. Corrective actions included replacing or reworking the lower control valve assembly.,['10 CFR 50.73(a)(2)(iv)(A)']
"During an extent of condition review for unprotected circuits the James A. FitzPatrick Nuclear Power Plant (JAF) staff identified three cables for which a postulated fire event could potentially short circuit and cause secondary cable damage. The main circuit breakers in the motor control center compartment do not provide adequate protection of the shunt field circuit cable. This condition affects the DC motors to 27MOV-123 torus exhaust isolation bypass valve, 23MOV-14 HPCI turbine steam inlet isolation valve, and 23MOV-24 HPCI full flow test return to condensate storage isolation valve. The cables for these circuits are routed thru fire areas in South Cable Tunnel, Reactor Building Eastside, and Reactor Building West Crescent; where safe shutdown equipment could be affected by this condition. The cause of the condition is that the original plant design did not include overcurrent protection for DC motor shunt field cables in all applicable Safe Shutdown Analysis circumstances. Compensatory actions were established for the affected Fire Zones and modifications were completed for the affected circuits.",['10 CFR 50.73(a)(2)(ii)(B)']
"On April 30th 2012 at 1003 hours, Salem Unit 1 experienced an invalid Train A Safety Injection, Reactor Trip, Main Steam Line Isolation, Emergency Diesel Generator start, Phase A Isolation, and start of the Auxiliary Feedwater Pumps. Technical Specification 3.0.3 was entered due to both trains of Safety Injection actuation logic being blocked after actuation per system design. The plant exited Technical Specification 3.0.3 at 1428 hrs. when Train B of the Solid State Protection System was reset. The operating crew, however, failed to recognize all Technical Specification Action Statements associated with inoperability of a single train of the Solid State Protection System and did not meet the requirement for entry into Mode 4. On May 1st at 0802 hours, operators identified the applicable Action Statement and commenced a plant cooldown. The plant entered Mode 4 at 1739 hrs. and entered Mode 5 at 2129 hours. The Safety Injection was caused by invalid actuation of Train A of the Solid State Protection System. The apparent cause of the failure to recognize entry into Technical Specification Action Statements was a lack of procedural adherence.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(iv)(A)']"
"On 11/17/2016 at 1859 with Unit 1 in Mode 1 at 99 percent power, the plant initiated a shutdown in accordance with Limiting Condition for Operation (LCO) 3.0.3 for having no operable steam flow channels for the C Steam Generator (SG). The two steam flow channels did not meet acceptance criteria for Technical Specification (TS) 3.3.2. The shutdown was completed and the plant entered Mode 3 as required by LCO 3.0.3. This is reportable as a plant shutdown required by Technical Specifications. This is also reportable as an event or condition that could have prevented fulfillment of a Safety Function needed to mitigate the consequences of an accident. This condition was discovered during an engineering verification of beginning of cycle full power scaling values for steam flow normalization. New scaling data was calculated and the channels were rescaled and restored to operable status. The cause of this event has not yet been determined. A supplemental LER will be submitted upon the completion of the causal analysis, and the cause and corrective actions will be provided at that time.",['10 CFR 50.73(a)(2)(v)(D)']
On May 12  2016  at 16:47 EDT  an assessment of Boron Areal Density Gauge for Evaluating Racks (BADGER) testing results for spent fuel storage racks revealed a single panel  RR35 South with a gap in neutron absorber material that exceeds spent fuel storage design feature assumptions. The assumptions ensure compliance with Technical Specification (TS) Section 4.3.1.1.b to maintain a spent fuel pool K-effective (Keff) of less than or equal to (</=) 0.95. An extent of condition review indicates additional at-risk rack locations that may further challenge compliance with TS 4.3.1.1.b. The cause of the noncompliance with TS 4.3.1.1.b is Boraflex degradation greater than assumed in the criticality safety analysis. Interim actions include declaring the spent fuel pool rack cells adjacent to the panel RR35 South inoperable  installing blade guides into cells adjacent to panel RR35S  and prohibiting fuel movement in Boraflex racks. An additional corrective action was taken to perform a criticality evaluation of the spent fuel pool (SPF). This LER supplement is issued to identify that an additional criticality evaluation has been performed to conservatively identify fuel storage configurations within the Boraflex fuel storage racks that will ensure the Boraflex racks Keff will be able to be maintained </= 0.95. Fuel movement will be required to establish these configurations.,"['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(ii)(B)']"
"On June 25, 2013, during a walkdown of the Diablo Canyon Power Plant (DCPP) Unit 1 containment, maintenance personnel noted an accumulation of boric acid on the inlet pipe to residual heat removal system relief valve RHR-1-RV-8708. Subsequent cleanup of the boric acid accumulation revealed an active leak of 3 drops per minute. A visual inspection identified that the source of the leak was a circumferential crack on the socket weld. DCPP determined that system vibration induced a low-stress, high-cycle fatigue which caused the socket weld to fail. DCPP replaced the socket weld. The new weld has improved fatigue resistance over the original, equal-leg socket weld. Additionally, DCPP will install a new support to reduce the chances of piping vibration amplification by increasing its natural frequencies to significantly higher than the current resonant frequencies. This condition did not adversely affect the health and safety of the public.","['10 CFR 50.73(a)(2)(ii)(B)', '10 CFR 50.73(a)(2)(v)(D)']"
"On September 13, 2017, with the Davis-Besse Nuclear Power Station operating at approximately 100 percent power, Auxiliary Feed Water (AFW) Pump Turbine 1 experienced high inboard bearing temperature during performance of quarterly Surveillance Testing. The turbine was tripped, and disassembly revealed damage to the journal bearing. The bearing was replaced, and following successful post maintenance testing, AFW Train 1 was declared Operable on September 16. The cause of the bearing damage was an improperly marked oil sight glass, which allowed operation with improper bearing lubrication. The improper markings were due to the maintenance work instruction for replacing the sight glass not including dimensions or guidance for setting required operational bands. On September 26, 2017, it was identified that low inboard bearing oil level had likely existed since completion of the previous quarterly surveillance test on June 21, when an oil sample was taken following testing but the bearing was not refilled due to the improperly marked sight glass. This issue is being reported as a condition that could have prevented the fulfillment of the safety function, and as a condition prohibited by Technical Specifications.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(B)']"
"On 02/09/2024 an analysis was completed which confirmed that a direct current (DC) circuit (EIIS:EI) within Unit 2 caused a non-compliant condition with Appendix R Fire Safe Shutdown. It was determined that the circuit was uncoordinated due to inadequate fuse sizing meaning that during a postulated fire the circuit's fuse may not act to protect the circuit from a fire-induced hot short. Without adequate overcurrent protection for these circuits, a fire-induced short could lead to excessive current through the circuits. This could lead to secondary damage in another fire area where the circuits are routed, challenging the ability to achieve and maintain safe shutdown. Extent of condition review revealed several additional circuits, including circuits within Unit 3. Compensatory measures have been implemented and will remain until the identified conditions are resolved. This event is reported as an unanalyzed condition because a fire that affects multiple fire areas is outside the bounds of the Appendix R Fire Safe Shutdown Analysis.",['10 CFR 50.73(a)(2)(ii)(B)']
"On September 26  2018 at 19:08  Quad Cities Unit 1 received an automatic Reactor SCRAM from 100% power. The SCRAM was the result of a Turbine-Generator Load Reject Trip that occurred when the status of the load reject contacts on one Unit Output Breaker was being tested while the other Unit Output Breaker was open. The cause of the Turbine-Generator load reject trip has two factors. First the Unit Supervisor misinterpreted a step in the governing procedure. Second the Unit Supervisor believed the circuit was de-energized and safe to perform the continuity check because the electricians were unable to identify voltage at the open contacts when voltage was present. The full trip was initiated when the electricians jumpered across the remaining open contacts with an ohm meter in the load reject circuit. The corrective actions include re-enforcement of the Technical Human Performance (THU) behaviors that were lacking during the pre-job brief and the initial review of the procedure, and enhanced guidance within the procedure for contact status checks. The actions will be directed to Operations and Maintenance.",['10 CFR 50.73(a)(2)(iv)(A)']
"On January 21, 2015 during quarterly calibration of The Reactor Steam Dome Pressure - Low switches PIS-B21-2N021A was found outside of the Technical Specification allowable value. PIS-B21-2N021A was restored to within the allowable value. Subsequent evaluation of the switch's history showed that it had drifted outside of its Technical Specification allowable value six times during the last three years. The historical search also identified other related Unit 1 and Unit 2 switches had drifted outside of the allowable value. In addition, on July 26, 2013, two Unit 2 channels (A and B) were found outside of the Technical Specification allowable values. With both the A and B channels inoperable at the same time, the safety functions of both core spray and LPCI were impacted; however, core spray and LPCI remained capable of performing their design function as analyzed in the FSAR accident analysis. Based on the historical information, firm evidence is considered to exist to indicate that the condition existed prior to the time of discovery. Based on this conclusion, the condition is considered to be a condition prohibited by Technical Specifications, a common cause inoperability of independent trains or channels, a condition that could have prevented fulfillment of a safety function, and a single cause that could have prevented fulfillment of safety functions of trains or channels in different systems. A cause analysis is ongoing; cause and corrective action information will be provided in a supplement to this LER. There were no actual safety consequences associated with this event.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(D)', '10 CFR 50.73(a)(2)(vii)', '10 CFR 50.73(a)(2)(ix)(A)']"
"On May 3, 2016, at 0833 Eastern Daylight Time, Security received an open door alarm regarding a Main Control Room (MCR) door. At 0847, Security notified the MCR staff of the door alarm and that the door was incapable of closure. At this time, both Control Room Emergency Ventilation System (CREVS) trains were declared inoperable due to the inoperability of the Control Room Envelope (CRE). Attempts to close the door were made, and it was identified that a screw had become wedged at the base of the door preventing it from latching. At 0855, the screw was removed and the door verified to close as designed. CREVS was determined to be operable. The screw was the bottom screw from the door latch guard and appears to have stripped loose and fallen into the rubber seal around the base of the MCR door frame preventing closure of the door. Corrective actions include replacing the missing screw on the door latch guard and evaluating existing preventive maintenance instructions associated with CREVS boundary doors to ensure screws are tightened, as needed, on a routine basis.",['10 CFR 50.73(a)(2)(v)(D)']
On May 19  2017  at 0206 hours  an unexpected Reactor Protection System (RPS) actuation occurred during pre-startup testing. The reactor was shutdown at the time  with all control rods inserted. The portion of the test that was in progress is designed to actuate the RPS from a loss of load input signal. To facilitate this part of the test with the reactor in a shutdown mode  one of two conditional steps in the procedure is to be taken. The generator motor operated disconnect 389 (MOD-389) is required to be in the open position  or protective trip circuity for the generator is required to be bypassed. Due to a conditional step of the test procedure being misinterpreted by a Nuclear Control Operator (NCO)  MOD-389 was left in the closed position and the generator protective trip circuity was not bypassed. This resulted in the RPS actuation occurring prior to the preplanned sequence. The RPS responded as designed. All components operated as expected for the plant conditions. The cause of the unexpected RPS actuation was human performance errors during procedure performance  e.g.  lack of self-validation/verification  misinterpretation of information  and lack of peer check verification. Corrective actions from the event include the removal of the NCO's licensed operator qualifications until remediated and initiation of a standing order requiring peer check verification for all procedure conditional steps until the applicable administrative procedure is revised. Additionally  a case study of the event will be included in a 2017 operations high intensity training session.,['10 CFR 50.73(a)(2)(iv)(A)']
"On September 9, 2020, a review of trend data identified a significant increase in makeup to the 'A' emergency diesel generator (DG) jacket water expansion tank, as applicable to a period of time that began on August 5, 2020. Specifically, the makeup water supply control valve cycled 25 times between August 5, 2020, and September 9, 2020. Prior to August 5, 2020, this valve had not cycled since April 15, 2020. The 'A' DG was declared inoperable on September 9, 2020, due to excessive jacket water leakage through KJV00771A, 'A' DG Jacket Water Heater Relief Valve. The 'A' DG was returned to operable status after KJV0771A was isolated on September 9, 2020. The valve was then removed and tested, and a replacement valve was installed in its place on September 10, 2020. The cause of this event was excessive jacket water leakage through KJV00771A, which had failed to seat due to debris becoming trapped in the valve seat after the valve was opened to manually vent the jacket water system after maintenance on August 5, 2020. Immediate corrective action for this event was to replace KJV00771A. Additionally, a corrective action to prevent recurrence was implemented, in which a night order was issued prohibiting the use of either KJV00771A or KJV00771B ('B' DG jacket water heater relief valve) for venting the jacket water systems of the DGs, until the final resolution of this issue is complete.",['10 CFR 50.73(a)(2)(i)(B)']
