content,subsections
"During scheduled testing at the offsite testing facility the as-found lift setting for the pressurizer safety valve previously installed in Unit 1 at the 1RV200 location was measured outside the Technical Specification allowable values (valve lifted low). The valve had been installed during the 2016 Unit 1 refueling outage and was removed during the 2018 Unit 1 refueling outage for scheduled testing and maintenance. As scheduled a spare valve was installed in its place during the 2018 refueling outage. The failed valve was disassembled and inspected at an offsite facility. The apparent cause of the PSV failure identified that the expanded contact area between the valve's bellow nose and disc, which was caused by the presence of a bulge in the bellows nose as a result of bellows stretch and compression, did not allow the disc to act normally which resulted in the valve lifting early. The valve will have damaged parts replaced, be rebuilt, tested, and re-certified for installation in the plant during the next Unit 1 refueling outage. Calvert Cliffs will require the vendor to employ a revised method for preparing a valve for its certification lifts whenever valve internals are replaced.",['10 CFR 50.73(a)(2)(i)(B)']
"On April 21, 2014, an Engineering past operability evaluation of the electrical 72E Bus Voltage Regulator determined that the AC power distribution bus would have been inoperable under degraded grid voltage conditions during a design basis accident. After reviewing weekly voltage readings from December 2013, it was concluded the 72E Bus Voltage Regulator had stopped functioning between December 14, 2013, and December 21, 2013, while the plant was in Mode 1. Limiting Condition for Operation 3.8.7 for the loss of one 480V bus required completion time was exceeded and is reportable as an operation or condition which was prohibited by the plant's Technical Specifications. Inspection of the 72E Bus Voltage Regulator revealed significant wear on the worm gear assemblies. This wear was found on all three worm assemblies and contributed to looseness and excess movement causing binding to occur. Binding caused the drive motors to draw a higher current and overheat, leading to motor failure. After replacing all worn and degraded parts, the voltage regulator was reassembled and satisfactorily passed post maintenance testing.",['10 CFR 50.73(a)(2)(i)(B)']
On May 1 2014 with Millstone Power Station Unit 3 in operating mode 1 and 100% reactor power an evaluation determined the installation of an incorrect vendor supplied bearing introduced a non-conforming condition which over time and under certain variable conditions resulted in excessive friction affecting the ability of the turbine driven auxiliary feedwater (TDAFW) pump to operate properly and could render it inoperable. Plant Technical Specification 3.7.1.2 Action c requires if one auxiliary feedwater pump is inoperable in operating modes 1 2 and 3 the pump must be returned to operable status within 72 hours or the plant be placed in at least hot standby within six hours and in hot shutdown within the following 12 hours. An investigation determined the installation of an incorrect bearing in the TDAFW pump steam supply valve control linkage during refueling outage 3R15 (spring of 2013) caused a discrepant condition rendering the TDAFW pump inoperable for periods of time exceeding the limiting conditions for operations action statement for TS 3.7.1.2. The bearing manufacturer issued a report on this issue. (ADAMS accession # ML14079A353). The incorrect bearing was replaced the governor and associated linkage were groomed/adjusted and the TDAFW pump was tested satisfactorily. Additional corrective actions are being taken in accordance with the station's corrective action program. This condition is reportable pursuant to any operation or condition which was prohibited by the plant's TS.,['10 CFR 50.73(a)(2)(i)(B)']
"On August 13 2014 while performing scheduled maintenance on Unit 2 Emergency Diesel Generator (EDG) 2-2 DCPP identified a failed Inlet-to-Fuel-Header capscrew on engine cylinder 1L. As part of subsequent inspections to determine whether a similar condition existed on any of the other Unit 1 or Unit 2 EDGs, a degraded capscrew was identified on EDG 2-3 cylinder 8L. No capscrew issues were identified on the Unit 1 EDGs or on Unit 2 EDG 2-1. EDG 2-3 was declared inoperable at 1631 on August 14 2014, resulting in two of three EDGs being inoperable at the same time, which requires ensuring at least two EDGs are operable within 2 hours, or be in Mode 3 within the following 6 hours. Although the capscrew on EDG 2-3 was successfully replaced within 2 hours, during fuel system fill and vent following corrective maintenance, a fuel oil leak from the belt driven fuel oil booster pump occurred. Because repairs of EDG 2-3 could not be completed within the time permitted by Technical Specification (TS) for two EDGs inoperable, a Unit 2 plant shutdown commenced. On August 14 2014 at 2351 hours, Unit 2 entered Mode 3. PG&E will provide the event cause and corrective actions once the associated cause evaluation is complete. This event did not adversely affect the health or safety of the public.","['10 CFR 50.73(a)(2)(v)(A)', '10 CFR 50.73(a)(2)(v)(B)', '10 CFR 50.73(a)(2)(v)(C)', '10 CFR 50.73(a)(2)(v)(D)', '10 CFR 50.73(a)(2)(vii)']"
"On 10/7/2018 clearances were posted that removed both trains of the Beaver Valley Power Station (BVPS) Unit 2 Standby Service Water System (SWE) from service. Per procedure both SWE pumps were placed in Pull-To-Lock to perform inspection and testing of the Train ""A"" SWE Pump Discharge Isolation Valve (2SWE-MOV116A). At 1020 on 10/9/2018 valve 2SWE-MOV116A was stroked open using a locally operated switch resulting in both trains of the Service Water System (SWS) header pressure to drop below the automatic actuation setpoint of the SWE system. As the SWE pumps were on clearance they did not respond to the actuation signal. The safety related Service Water pumps recovered the header pressure without the assistance of the SWE pumps. Although this system was properly removed from service, a valid actuation signal was generated. This signal was not part of a preplanned sequence. Causes were identified as a failure to perform the verbal communication prior to stroking the Train ""A"" SWE Pump Discharge Isolation Valve and the Operations Work Order reviews did not address the system impact that would have ensured adequate instructions were included in the Work Order to mitigate any impact on the system.",['10 CFR 50.73(a)(2)(iv)(A)']
"During the performance of surveillance testing on January 3, 2024, turbine stop valve (TSV)-1 open limit switch MS-LMS-SVOS1(1) failed to actuate. This failure prevented actuation of the Reactor Protection System (RPS) scram logic for channel A1. At 0400, Operations declared TSV-1 limit switch inoperable and entered the applicable Technical Specifications (TS) Limiting Condition for Operation (LCO) 12-hour action statement to place the RPS channel in trip and inserting a half-scram. A pre-planned contingency power reduction was initiated to replace the limit switch. When the switch linkage was disassembled for replacement, the arm was found loose and not fully engaged onto the limit switch shaft. The switch was replaced, and Operations exited the TS LCO action statement at 0249 on January 4, 2024. The cause of the failure was due to looseness in the limit switch linkage that attached to the limit switch cam. This prevented proper engagement to actuate the limit switch when it was exercised for testing. There were no safety consequences as a result of this event.",['10 CFR 50.73(a)(2)(i)(B)']
"On 8/13/2013 at 1545 EDT Unit 2 was operating at 100 percent RTP when it was determined that inter-cable analyses for the safe shutdown analysis had not been done using the guidance of Reg Guide 1.189 and NEI 00-01. An initial analysis for some of the components in the high/low pressure interface systems was performed considering inter-cable shorts as a plausible vector in the Safe Shutdown Analysis. Vulnerabilities were subsequently identified during this circuit analysis in that postulated fire scenarios can cause two valves required for safe shutdown to open during power operation. At risk are Residual Heat Removal (RHR) valves with controls in Fire Area 2203 (Fire Zone 2203F) and Fire Area 0024. Specifically during a postulated fire scenario on the affected unit an inter-cable hot short could occur on the control cables for inboard RHR shutdown cooling isolation valves causing the valves to open while at rated power. In addition a spurious opening of outboard RHR shutdown cooling isolation valves could occur due to an intra-cable hot short on the control cables in the same postulated event. An intersystem Loss of Coolant Accident (LOCA) could then occur when the low pressure system piping is subjected to higher reactor pressures as a result of the postulated conditions. The cause of the event is attributed to ineffective monitoring and follow-up of regulatory activities involving inter-cable hot shorts in identifying the vulnerabilities associated with these RHR isolation valves. Upon notification plant operators took immediate actions to de-energize affected valves in the ""closed"" position to remove the vulnerability. Additionally an extent of condition evaluation was performed followed by establishment of additional compensatory measures.",['10 CFR 50.73(a)(2)(ii)(B)']
"On May 26, 2019, the Arkansas Nuclear One, Unit 2 (ANO-2) reactor automatically tripped due to a fault and subsequent trip of Reactor Coolant Pump (RCP) 2P-32B. The direct cause of the event was determined to be the loss of stator core compression coupled with broken compression finger welds allowing a finger to migrate into contact with the RCP rotor. The broken finger plate section damaged the stator insulation resulting in a short to ground. The plant transient led to an automatic reactor trip due to a Plant Protection System actuation. After the reactor trip, the unit was stabilized in Mode 3 with Emergency Feedwater (EFW) initially being used to maintain plant temperature under automatic control.",['10 CFR 50.73(a)(2)(iv)(A)']
"On October 10, 2024, at 0557, Calvert Cliffs Nuclear Power Plant Unit 2 incurred an uncomplicated automatic reactor trip from 100 percent power due to a Main Turbine Loss of Load trip initiated by the Reactor Protection System (RPS). The Loss of Load trip was the result of an internal Main Generator Exciter failure that led to a loss of field on the Main Generator that in turn led to a load reject trip from the Main Turbine. The direct cause of the Exciter failure was a failed stationary field pole electrical connection. Impacted Exciter components were replaced and an extent of condition inspection on the other field pole electrical connections was performed prior to returning the Exciter to service. The root cause analysis for this event determined that the Troubleshooting team/personnel for the July 18, 2024, trip failed to establish appropriate bridging, mitigating, and monitoring parameters in accordance with the ""Conduct of Troubleshooting"" procedure to adequately manage risk until the planned 2025 refueling outage when the elimination strategy was scheduled to be implemented.",['10 CFR 50.73(a)(2)(iv)(A)']
On 11/14/2021 at 05:25 EST a manual reactor scram was inserted on Unit 2 from 79 percent power due to degrading Main Condenser (EIIS: SG) vacuum. The loss of vacuum occurred due to an isolation of the Offgas System (ElIS: WF) on high Steam Jet Air Ejector discharge pressure and high Jet Compressor suction pressure. The manual reactor scram occurred with no complications and plant systems responded as expected. Unit 3 was unaffected. The scram resulted in an automatic Primary Containment Isolation System (PCIS)(EIIS: JM) Group II/III isolation. Upon initial investigation it was identified that the valve positioner for the Jet Compressor Bypass Valve (EIIS: PCV) had a significant air leak which prevented the valve from closing. The root cause of the positioner failure was determined to be the use of low temperature soft parts in a high temperature environment. The soft parts within the failed positioner were replaced with higher-temperature rated components. Actions are in place to replace other low temperature soft parts within the Offgas System. There were no safety consequences as a result of the event.,['10 CFR 50.73(a)(2)(iv)(A)']
"On March 2, 2023 while operating in Mode 1 at 100% power, Waterford 3 Steam Electric Station Unit 3 (WF3) discovered the Containment High Range Radiation Monitor B (ARMIRE5400B) pico-ammeter circuit board fluctuations could potentially affect operability. Operations removed ARMIRE5400B from service for analysis and testing. A past operability evaluation determined the cause of ARMIRE5400B pico-ammeter circuit board fluctuations occurred due to a deficiency in the temperature compensating circuit. ARMIRE5400B was inoperable from May 14, 2022, to March 9, 2023, and exceeded its allowable outage time. The pico-ammeter circuit board was replaced, and operability was restored on March 9, 2023. WF3 Technical Specification (TS) 3.3.3.1 Action b. and pursuant TS Table 3.3-6 require the minimum number of Effluent Accident Monitor channels to be operable in Modes 1, 2, 3, and 4. TS Table 3.3-6 Action 27 require that the radiation monitors be restored to operable status within 72 hours or initiate the preplanned alternate method of monitoring the appropriate parameter(s).",['10 CFR 50.73(a)(2)(i)(B)']
A planned power reduction commenced June 14  2013  to inspect the Drywell for sources of unidentified leakage. Following a refueling outage completed in May 2013  the Drywell unidentified leakage was higher than levels prior to the outage. The Drywell inspection identified two leak sites  one of which was in the reactor coolant system (RCS) pressure boundary. A plant shutdown was conducted in accordance with Technical Specification 3.4.5  RCS Operational Leakage  to facilitate repairs. During the shutdown process and after the reactor was subcritical  the reactor protection system was actuated to insert the remaining withdrawn control rods. The cause of the RCS pressure boundary leakage is a combination of stress corrosion cracking and fatigue or corrosion fatigue. A new vent valve assembly was fabricated and installed on the reactor recirculation system B flow control valve. Inspection of other vent and drain valves with similar configuration on the reactor recirculation system found no deficiencies. Design configuration options to address the cause will be evaluated. The safety significance of this event is considered to be small.,"['10 CFR 50.73(a)(2)(ii)(A)', '10 CFR 50.73(a)(2)(iv)(A)']"
"On November 30, 2022, Hope Creek Generating Station (HCGS) discovered an electrical jumper that was installed on October 5, 2022, and should have been removed on October 10, 2022. The cause is human performance error. The jumper bypassed isolation actuation instrumentation associated with residual heat removal (RHR) system shutdown cooling (SDC) mode isolation. Specifically, it rendered one channel of a two-channel interlock that protects the RHR system from over-pressurization inoperable. The interlock prevents opening SDC valves when reactor pressure is above 82.0 psig. HCGS did not take required action required by technical specifications (TS) for this condition before entering applicable operational conditions on October 28, 2022. Consequently, HCGS was in a condition prohibited by TS from October 28 to November 30, 2022. HCGS removed the jumper to restore operability of the interlock shortly after discovery and completed individual performance management.",['10 CFR 50.73(a)(2)(i)(B)']
"On February 16, 2017, at 1320 EST with Unit 2 at 0 percent rated thermal power due to being in a refueling outage, maintenance electricians were sent to the field to perform a protective relay trip test for the 2D start-up transformer (SAT). During the test setup, the 2E 4160 VAC Emergency Bus was inadvertently and momentarily de-energized, causing the 2A Emergency Diesel Generator (EDG) to autostart, secondary containment to isolate, and start of the standby gas treatment system. Subsequent investigations revealed that the cause of the event was due to a movement operated contact (MOC) switch adapter was not required to be installed on the 2D normal supply breaker in the 2E 4160 VAC bus. All systems responded appropriately. A review of the event determined that the MOC switch adapter was not required to be installed by the procedure but was instructed to be installed by supervision. Corrective actions were taken to cover supervisor roles and responsibilities and the need for all workers to follow plant standards for procedure use and adherence. All breaker procedures and protective relay test procedures were reviewed to determine if a MOC switch adapter needs to be installed. Continuing training will also be held to cover this event and its lessons learned.",['10 CFR 50.73(a)(2)(iv)(A)']
"On September 10, 2019, at approximately 1502 Central Daylight Time (CDT), a lightning strike caused a power surge which disabled signal repeaters between the Local Intelligence Units (LIUs) of some security doors and the monitoring stations at Browns Ferry Nuclear Plant (BFN). At 1830 CDT, it was discovered that some of the oncoming night shift personnel could not access particular areas which required keycard access. An extent of condition check conducted at 1934 CDT determined that access to the 1A and 3A Electric Board Rooms, which contain remote shutdown panels and Fire Safe Shutdown (FSS) equipment, was prohibited for the night shift personnel. This condition impacted the ability of Operators to perform their required actions in FSS procedures within prescribed time limits if a fire had occurred. The event was caused by lightning strike, which created a power surge, resulting in a security equipment communications failure. Access was restored to all plant areas at 2106 CDT. The immediate corrective action was to have Security and Operations personnel reset the malfunctioning equipment. This cleared the error and allowed the LIUs of the affected security doors to receive roster updates. As a corrective action to reduce the probability of recurrence, Site Security created a constantly-activated, all-access emergency keycard as a contingency against future door LIU communication failures. SSI-16.1 ""Compensatory Measures"" is being revised to proceduralize the emergency keycard's use.",['10 CFR 50.73(a)(2)(ii)(B)']
"On November 1, 2017 at 1225 CDT, with Unit 2 shutdown for refueling outage D2R25, both the 2-220-58A Feedwater (FW) Inboard Check Valve and the 2-220-62A FW Outboard Check Valve failed Local Leak Rate Testing (LLRT) acceptance criteria. Technical Specification (TS) 5.5.12, 'Primary Containment Leakage Rate Testing Program,' establishes limits for Primary Containment leakage. Based upon the results of the LLRT, Dresden Unit 2 may not have met the limits for primary containment leakage during the last operating cycle as specified in TS 5.5.12.C. The cause of the failure was the inability to fully seat the valve disc in the seat assembly for testing. Corrective actions included replacing valve assemblies using the latest maintenance practices and installing larger test taps for improved testing. This event is reportable as a condition prohibited by TS, as an event that resulted in the condition of the plant including its principal safety being seriously degraded, and as an event or condition that could have prevented the fulfillment of a safety function of a system that is needed to control the release of radioactive material.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(ii)(A)', '10 CFR 50.73(a)(2)(v)(C)']"
During a review of environmental qualification records for reactor containment building electrical penetrations six penetrations were identified that may not provide an adequate seal during worst case (Design Basis Accident (DBA)) conditions as required. These penetrations are through wall from the containment into the auxiliary building. A cause analysis is in progress and the results will be included in a supplement to this LER. The station is currently in a refueling mode. Corrective actions to address the causes of this condition will be documented in the supplement to this LER. The subject penetrations will be restored to full environmental qualifications prior to plant startup.,"['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(ii)(B)']"
"On December 14, 2013, at 15:03 PST, with Diablo Canyon Power Plant (DCPP) Unit 1 operating in Mode 1 at approximately 100 percent power, engineers identified a vulnerability to extreme weather. A combination of sustained high winds over 60 miles per hour and ambient air temperatures exceeding 97ºF could reduce cooling capacity such that the emergency diesel generators would exceed design limits, contrary to the requirements of General Design Criteria (GDC) 2. Upon identification of this condition, shift orders were issued that require, when conditions warrant, the implementation of existing procedural guidance to open plant doors. This will allow additional air flow, shown to provide adequate emergency diesel generator cooling to support continuous operation of the Unit 1 emergency diesel generators. An apparent cause evaluation concluded that PG&E did not have a design process requirement in place to evaluate GDC-2 design criteria relative to SSC functional requirements other than for structural integrity issues. Plant procedures were revised to include this requirement and PG&E will issue a design change to permanently modify the plant to resolve the wind issue. This event did not adversely affect the health or safety of the public.","['10 CFR 50.73(a)(2)(ii)(B)', '10 CFR 50.73(a)(2)(v)(D)']"
"On October 19, 2016, a past operability review determined that HVAC System Mechanical Water Chiller A-Train (XHX0001A) had been non-functional from June 26, 2016, through July 20, 2016, due to Circuit 1 Hot Gas Bypass Valve (XVM16484A-VU) failing open. The failure of XVM16484A-VU to successfully isolate adversely impacted the A-Train Chiller's ability to transfer the total design basis accident heat load of the system. The event impacts the operability requirements of the area room coolers that the Chilled Water (VU) system supports per Technical Specification (TS) 3/4.7.9, ""Area Temperature Monitoring."" On July 20, 2016, Virgil C. Summer Nuclear Station personnel identified via trending that XHX0001A Chiller Circuit 1 cooling capacity was limited to approximately 65 tons. Further troubleshooting identified that the condition was due to XVM16484A-VU failing open intermittently. The past operability review found that XHX0001A was unable to provide design basis heat load cooling capacity and therefore was considered non-functional. XVM16484A-VU was replaced and post maintenance testing was completed satisfactorily.",['10 CFR 50.73(a)(2)(i)(B)']
On 8/20/2023 at 1600 Eastern Daylight Time (EDT) a Reactor Coolant System (RCS) pressure boundary leak (approximately 2 gpm) was identified at the socket weld on a Reactor Recirculation Sample Line. The small-bore piping experienced vibration stresses at the header location which contributed to the fatigue failure at the socket weld connection. The leak was repaired and the unit returned to power operation on 9/9/2023. The corrective action plan addressed the causal factors associated with this event. Corrective actions completed or planned include 1) repairing the leak 2) evaluated if the repair would perform its design function until the next refueling outage in 2024 (RF22) and 3) design change to add adequate supports to alleviate vibration to be installed in RF22. This event had no effect on the public health and safety. The event was reported to the Nuclear Regulatory Commission on 8/20/2023 via Event Notification 56685.,"['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(ii)(A)']"
"On February 23, 2017, radiography results for the Browns Ferry Nuclear Plant (BFN) Unit 2 Reactor Core Isolation Cooling (RCIC) system stop check valve 2-HCV-071-0014 (71-14 valve) showed the valve to be in the fully open position. In this position, the valve was incapable of performing its design function as a Primary Containment Isolation Valve (PCIV). In order to isolate the affected primary containment penetration flowpath, the RCIC Steam Line Outboard Isolation Valve was closed and deactivated to secure flow through the adjacent PCIV check valve in the exhaust line in accordance with plant Technical Specifications (TS) Limiting Conditions for Operation (LCO) for Primary Containment Isolation. It is assumed in the Past Operability Evaluation (POE) that the 71-14 valve had been inoperable from April 2015 to February 2017, in violation of TS LCO 3.6.1.3. During this time period, another check valve (upstream of the 71-14 valve) remained capable of isolating the affected penetration. The 71-14 valve was repaired during the BFN Unit 2 Cycle 19 Refueling Outage which began on February 25, 2017. The cause of this condition was determined to be inadequate minimum allowable internal clearances for the 71-14 valve. The 71-14 valve internals were machined to minimum allowable material as an interim action to mitigate risks. The corrective action to prevent recurrence is to replace the 71-14 valve with a new valve design that is not susceptible to the same internal binding potential.",['10 CFR 50.73(a)(2)(i)(B)']
On January 11  2018  at 1041 EST  a planned train swap of the Reactor Building Heating Ventilation and Air Conditioning (RBHVAC) system resulted in the Technical Specification (TS) for secondary containment (SC) pressure boundary not being met for less than one minute. The maximum secondary containment pressure recorded during that time was approximately 0.116 inches of vacuum water gauge. Secondary containment pressure was restored to within TS limits by starting Division 1 of the Standby Gas Treatment System (SGTS). There were no safety consequences or radiological releases associated with this event. The cause of this momentary loss of SC was determined to be the effect of the RBHVAC West Exhaust Fan Modulating Damper failing to fully open. For corrective actions  Fermi 2 has repaired the damper.,['10 CFR 50.73(a)(2)(v)(C)']
"It was discovered on November 27, 2024 that all degraded voltage relays were inoperable for one safety related bus E1B and would not have had the required protection afforded to it. The degraded voltage protection for E1B was inoperable for greater than the Technical Specification Allowed Outage Time. The cause was a pull-out fuse block that was not returned to the proper position following maintenance during the 1RE25 refueling outage due to inadequate personnel proficiency on fuse-block alignment and inadequate procedure guidance. Corrective actions include: (1) restoration of the fuse block and confirming proper alignment of equipment and (2) revision of maintenance procedure used for the maintenance on the E1B safety related bus. A root cause evaluation is scheduled to further examine cause of the condition. If additional causes are determined, a supplement will be submitted.",['10 CFR 50.73(a)(2)(i)(B)']
"On Thursday April 5, 2022, at approximately 0222 hours with power level at approximately 100 percent, Nine Mile Point Unit 2 (NMP2) experienced a feedwater level control transient during maintenance on the Feedwater Flow Control Valve (LV10B), which resulted in a low reactor water level scram. Following the reactor scram, all plant systems responded per design. The root cause of this event was incorrect procedure guidance for nulling the demand and position signal in N2-SOP-06, ""Feedwater Failures, Attachment 1, Restoration of 2FWS-LV10 Control"". Corrective actions included revising N2-SOP-06, Attachment 1 to correctly null the demand signal to the potentiometer intended for control.",['10 CFR 50.73(a)(2)(iv)(A)']
"On April 9, 2019, following the Unit 1 Reactor Coolant System (RCS) cooldown for refueling (U1R38), PBNP identified that the cold leg temperature was not maintained within the limits specified in the PTLR. An extent of condition review identified time intervals where both units had operated outside of the PTLR temperature limit. During these intervals, the technical specification required action completion times were not satisfied. Technical Specification 3.4.3, RCS Pressure and Temperature Limits Limiting Condition for Operation (LCO), requires that RCS pressure, temperature, and heat-up and cooldown rates be maintained within the limits specified in the PTLR. The LCO is applicable at all times and requires that if a limit is exceeded, initiate action to restore parameters and determine RCS is acceptable for continued operation prior to entering Mode 4. The RCS heat-up and cooldown rates have been maintained within the limits specified in the PTLR. However, the RCS was not maintained greater than the minimum temperature specified in the PTLR and the required action to determine the RCS acceptable for continued operation was not completed prior to entering Mode 4.",['10 CFR 50.73(a)(2)(i)(B)']
At approximately 1730 on March 9  2015 with both units at full power  it was discovered that the current limit feature of Battery Charger D-107 was not functioning as expected. Subsequent troubleshooting identified a defective crimp on a wire which was causing an intermittent open circuit that disabled the current limit function. Evaluation determined that the capability to restore the battery charger to the DC electrical power subsystem to recover a discharged battery following a load shed of the charger may not have been able to be performed as designed. This condition may have resulted in an actual plant condition prohibited by Technical Specifications  Technical Specification 3.8.4. DC Sources-Operating. No other plant systems were affected by this condition.,['10 CFR 50.73(a)(2)(i)(B)']
On 10/9/2021 at 03:00 with Unit 3 in Mode 3 at 0% power an actuation of the Auxiliary Feedwater (AFW) system occurred when level in the 3A Steam Generator increased to 80% causing a Feedwater isolation signal which tripped the running Steam Generator Feedwater Pump. The AFW system automatically started in response to the trip of the last running feedwater pump. All systems responded as designed to the 3A S/G high level condition.,['10 CFR 50.73(a)(2)(iv)(A)']
"On December 3, 2017, at approximately 1030, Operations identified materials staged in the Susquehanna Steam Electric Station (SSES) Unit 1 Division 2 Core Spray Room near the ""B"" Core Spray Pump Room Unit Cooler. The replacement piping materials were located on pipe roller stands approximately 6 inches from the unit cooler and were not seismically restrained. At the time of this condition, the SSES Unit 1 Division 2 Residual Heat Removal (RHR) Low Pressure Core Spray (LPCI) Swing Bus MG voltage regulator was being replaced. As such, Unit 1 Technical Specification 3.5.1 condition A for the voltage regulator replacement had already been entered. With the U1 ""B"" Core Spray Unit Cooler inoperable due to the presence of the improperly stored materials, this would have required entry into TS 3.5.1 condition I which requires entry into TS LCO 3.0.3 immediately. The cause of the condition was determined to be less than adequate procedure use and adherence. The staged piping was removed immediately and a communication was performed with site personnel on this issue. There were no actual consequences to the health and safety of the public as a result of this event.",['10 CFR 50.73(a)(2)(i)(B)']
"On September 4, 2013, the Keowee Hydroelectric Station Unit 2 (KHU-2) experienced an emergency lockout that rendered it inoperable. The Keowee Hydroelectric Station is one of Oconee Nuclear Station's (ONS) emergency power sources. Following troubleshooting activities, it was determined that from August 17, 2013, until September 4, 2013, KHU-2 had previously been susceptible to this type of emergency lockout resulting in a condition that exceeded the allowed outage time given in the plant's technical specifications. An investigation of the event determined that the cause of the event was vibration from a Governor Oil pump that caused relay 86E2X to ""chatter."" The chatter generated a spurious signal that activated the emergency lockout relay. A completed corrective action included the replacement of relay 86E2X and relocating it to an environment not susceptible to vibration. This event is considered to have minimal safety significance and no consequences with respect to the health and safety of the public.",['10 CFR 50.73(a)(2)(i)(B)']
"On 11/8/16 at 0510 CST during Under Voltage surveillance testing Bus 33-1 was secured causing Standby Gas Treatment (SBGT) [BH] to start and the Reactor Building (RB) Ventilation system [VA] automatically isolated. During the evolution RB pressure relative to outside was less than 0.25 inches water column (in WC) vacuum which is required by Technical Specifications (TSs). TS Limiting Condition for Operation (LCO) 3.6.4.1 ""Secondary Containment"" Condition A was entered. At 0532 CST the Unit 2 RB Equipment Access Inner door was closed and RB differential pressure was observed to increase above 0.25 in WC vacuum and Condition A was exited. TS LCO 3.6.4.1 was not applicable to Unit 3 which was in Mode 5 with no recently irradiated fuel moves or any operations with a potential for draining the reactor vessel (OPDRVs) in progress. This event is reportable under ""Any event or condition that could have prevented the fulfillment of the safety function of structures or systems that are needed to control the release of radioactive material.""",['10 CFR 50.73(a)(2)(v)(C)']
"During the Clinton Power Station (CPS) Refueling Outage (C1R17) on May 12, 2017, at 0045 [CDT], CPS tested its Main Steam Isolation Valves (MSIV) and discovered the as-found leakage for main steam line (MSL) 'D' exceeded the Technical Specifications (TS) 3.6.1.3 Primary Containment Isolation Valves Surveillance Requirement (SR) 3.6.1.3.9 limit placed on an individual MSL and total leakage from all four MSLs. During Modes 1, 2, and 3, TS SR 3.6.1.3.9 requires MSIV leakage for a single MSL to be less than or equal to 100 standard cubic feet per hour (scfh) (47,195 standard cubic centimeters per minute (sccm)) and requires the combined leakage rate for all MSLs to be less than or equal to 200 scfh (94,390 sccm) when tested at 9 psig. The as-found leakage for the 'D' MSL was 53,921.61 sccm for the 'D' inboard MSIV (1B21F022D) and 59,698.8 sccm for the 'D' outboard MSIV (1B21F028D). The as-found combined min-path leakage for all four MSLs was 102,463 sccm. An event investigation determined the as-found condition of MSIVs 1B21F022D and 1B21F028D did not reveal any damage, only normal wear indications. Thus, the apparent cause for the excessive leakage past all affected MSIVs is expected wear. Valves 1B21F028A, 1B21F022D, and 1B21F028D were repaired so that as-left leakage values complied with limits established by TS SR 3.6.1.3.9. This event is reportable due to principle plant safety barriers being seriously degraded.",['10 CFR 50.73(a)(2)(ii)(A)']
"On May 3, 2017, with the unit shutdown for refueling outage, while performing plant procedure 3.M.3-27 ""480V Bus B6 Transfer Test UV Degraded Voltage and Timing Relays Calibration and Annunciator Verification,"" the time delay Agastat relay 27A-B1X/TDDO opened instantaneously instead of with a time delay. This relay is set to drop out after a 1.25-second time delay after being de-energized. This condition was discovered during the plant's refueling outage when conditions were such that the equipment normally energized/activated by this time delay relay was not required to be operable. Pilgrim Nuclear Power Station is submitting this Licensee Event Report. This event was not risk significant. There was no threat to public health and safety from this condition.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(B)', '10 CFR 50.73(a)(2)(v)(C)', '10 CFR 50.73(a)(2)(v)(D)']"
"On August 28, 2017, at 0837, VCSNS Unit 1 automatically tripped due to a turbine trip. The turbine trip was caused by the Main Generator Differential Lockout due to a fault on the center phase 230 kV lightning arrester on the Main Transformer (XTF-1). The plant trip response was normal. All control rods fully inserted. Balance of Plant (BOP) buses automatically transferred to their alternate power source, Emergency Auxiliary Transformers (XTF-31/32). Both Motor Driven (MD) Emergency Feedwater (EF) pumps and the Turbine Driven EF Pump started as designed. The cause of this event was the failure of the center phase lightning arrester on XTF-1. The failed arrester, along with the other two lightning arresters that were in service on XTF-1 during the reactor trip, was replaced. The lightning arresters were sent to an independent lab, NEETRAC - Georgia Tech, for testing and evaluation. The examination results indicate that the most probable cause of the arrester failure was an internal flashover of the metal oxide varistor blocks. The cause of the internal flashover is likely moisture ingress from the upper end seal.",['10 CFR 50.73(a)(2)(iv)(A)']
"On April 17, 2019 at approximately 0137 CDT, a valid actuation of the ""A"" emergency diesel generator (EDG) at the Callaway plant occurred due to inadvertent tripping of the ""B"" switchyard bus. The plant was in No Mode (defueled) when the switchyard 345-kV main generator output breaker (MDV53) was closed to backfeed the unit auxiliary transformer. MDV53 immediately reopened due to a ground located on a set of current transformers that set up an unwanted path for current to flow between the protection circuits for switchyard breakers MDV53 and MDV55. De-energization of the ""B"" switchyard bus resulted in de-energization of two transformers in the switchyard circuit connection to the 4.16-kV NB01 safety bus. The loss of voltage on the NB01 bus triggered the ""A"" EDG actuation.",['10 CFR 50.73(a)(2)(iv)(A)']
